N,M,maximum_ci_width,p0,rho,null_replicates,alternative_replicates,false_positive_rate,power
40,50,0.1,0.5,0.1,2000,2000,0.003,0.9815
40,50,0.12,0.1,0.01,2000,2000,0.004,1.0
40,50,0.12,0.1,0.05,2000,2000,0.003,1.0
40,50,0.12,0.1,0.1,2000,2000,0.005,1.0
40,50,0.12,0.3,0.01,2000,2000,0.0025,0.982
40,50,0.12,0.3,0.05,2000,2000,0.0025,0.9855
40,50,0.12,0.3,0.1,2000,2000,0.003,0.991
40,50,0.12,0.5,0.01,2000,2000,0.002,0.9615
40,50,0.12,0.5,0.05,2000,2000,0.002,0.9675
40,50,0.12,0.5,0.1,2000,2000,0.0015,0.9845
40,50,0.15,0.1,0.01,2000,2000,0.0035,1.0
40,50,0.15,0.1,0.05,2000,2000,0.0025,1.0
40,50,0.15,0.1,0.1,2000,2000,0.004,1.0
40,50,0.15,0.3,0.01,2000,2000,0.0025,0.98
40,50,0.15,0.3,0.05,2000,2000,0.003,0.9855
40,50,0.15,0.3,0.1,2000,2000,0.003,0.9885
40,50,0.15,0.5,0.01,2000,2000,0.0025,0.9655
40,50,0.15,0.5,0.05,2000,2000,0.003,0.9665
40,50,0.15,0.5,0.1,2000,2000,0.002,0.9815
40,100,0.08,0.1,0.01,2000,2000,0.001,1.0
40,100,0.08,0.1,0.05,2000,2000,0.0015,1.0
40,100,0.08,0.1,0.1,2000,2000,0.002,1.0
40,100,0.08,0.3,0.01,2000,2000,0.0035,1.0
40,100,0.08,0.3,0.05,2000,2000,0.003,1.0
40,100,0.08,0.3,0.1,2000,2000,0.0025,1.0
40,100,0.08,0.5,0.01,2000,2000,0.004,1.0
40,100,0.08,0.5,0.05,2000,2000,0.003,1.0
40,100,0.08,0.5,0.1,2000,2000,0.0025,1.0
40,100,0.1,0.1,0.01,2000,2000,0.003,1.0
40,100,0.1,0.1,0.05,2000,2000,0.003,1.0
40,100,0.1,0.1,0.1,2000,2000,0.0025,1.0
40,100,0.1,0.3,0.01,2000,2000,0.0025,1.0
40,100,0.1,0.3,0.05,2000,2000,0.002,1.0
40,100,0.1,0.3,0.1,2000,2000,0.0025,1.0
40,100,0.1,0.5,0.01,2000,2000,0.003,1.0
40,100,0.1,0.5,0.05,2000,2000,0.003,0.9995
40,100,0.1,0.5,0.1,2000,2000,0.004,1.0
40,100,0.12,0.1,0.01,2000,2000,0.0035,1.0
40,100,0.12,0.1,0.05,2000,2000,0.0045,1.0
40,100,0.12,0.1,0.1,2000,2000,0.004,1.0
40,100,0.12,0.3,0.01,2000,2000,0.0015,1.0
40,100,0.12,0.3,0.05,2000,2000,0.002,1.0
40,100,0.12,0.3,0.1,2000,2000,0.001,1.0
40,100,0.12,0.5,0.01,2000,2000,0.0015,1.0
40,100,0.12,0.5,0.05,2000,2000,0.003,1.0
40,100,0.12,0.5,0.1,2000,2000,0.0035,1.0
40,100,0.15,0.1,0.01,2000,2000,0.003,1.0
40,100,0.15,0.1,0.05,2000,2000,0.006,1.0
40,100,0.15,0.1,0.1,2000,2000,0.0025,1.0
40,100,0.15,0.3,0.01,2000,2000,0.003,1.0
40,100,0.15,0.3,0.05,2000,2000,0.0025,1.0
40,100,0.15,0.3,0.1,2000,2000,0.0035,1.0
40,100,0.15,0.5,0.01,2000,2000,0.0025,1.0
40,100,0.15,0.5,0.05,2000,2000,0.0045,1.0
40,100,0.15,0.5,0.1,2000,2000,0.0025,1.0
40,200,0.08,0.1,0.01,2000,2000,0.002,1.0
40,200,0.08,0.1,0.05,2000,2000,0.004,1.0
40,200,0.08,0.1,0.1,2000,2000,0.0035,1.0
40,200,0.08,0.3,0.01,2000,2000,0.002,1.0
40,200,0.08,0.3,0.05,2000,2000,0.004,1.0
40,200,0.08,0.3,0.1,2000,2000,0.005,1.0
40,200,0.08,0.5,0.01,2000,2000,0.003,1.0
40,200,0.08,0.5,0.05,2000,2000,0.0035,1.0
40,200,0.08,0.5,0.1,2000,2000,0.003,1.0
40,200,0.1,0.1,0.01,2000,2000,0.0015,1.0
40,200,0.1,0.1,0.05,2000,2000,0.001,1.0
40,200,0.1,0.1,0.1,2000,2000,0.004,1.0
40,200,0.1,0.3,0.01,2000,2000,0.003,1.0
40,200,0.1,0.3,0.05,2000,2000,0.002,1.0
40,200,0.1,0.3,0.1,2000,2000,0.004,1.0
40,200,0.1,0.5,0.01,2000,2000,0.0035,1.0
40,200,0.1,0.5,0.05,2000,2000,0.0025,1.0
40,200,0.1,0.5,0.1,2000,2000,0.004,1.0
40,200,0.12,0.1,0.01,2000,2000,0.0035,1.0
40,200,0.12,0.1,0.05,2000,2000,0.0025,1.0
40,200,0.12,0.1,0.1,2000,2000,0.003,1.0
40,200,0.12,0.3,0.01,2000,2000,0.0035,1.0
40,200,0.12,0.3,0.05,2000,2000,0.0005,1.0
40,200,0.12,0.3,0.1,2000,2000,0.0025,1.0
40,200,0.12,0.5,0.01,2000,2000,0.0035,1.0
40,200,0.12,0.5,0.05,2000,2000,0.003,1.0
40,200,0.12,0.5,0.1,2000,2000,0.004,1.0
40,200,0.15,0.1,0.01,2000,2000,0.0025,1.0
40,200,0.15,0.1,0.05,2000,2000,0.0035,1.0
40,200,0.15,0.1,0.1,2000,2000,0.0025,1.0
40,200,0.15,0.3,0.01,2000,2000,0.0005,1.0
40,200,0.15,0.3,0.05,2000,2000,0.004,1.0
40,200,0.15,0.3,0.1,2000,2000,0.002,1.0
40,200,0.15,0.5,0.01,2000,2000,0.002,1.0
40,200,0.15,0.5,0.05,2000,2000,0.002,1.0
40,200,0.15,0.5,0.1,2000,2000,0.002,1.0
