N,M,maximum_ci_width,p0,rho,null_replicates,alternative_replicates,false_positive_rate,power
20,200,0.1,0.5,0.1,2000,2000,0.003,1.0
20,200,0.12,0.1,0.01,2000,2000,0.0035,1.0
20,200,0.12,0.1,0.05,2000,2000,0.006,1.0
20,200,0.12,0.1,0.1,2000,2000,0.003,1.0
20,200,0.12,0.3,0.01,2000,2000,0.004,1.0
20,200,0.12,0.3,0.05,2000,2000,0.0035,1.0
20,200,0.12,0.3,0.1,2000,2000,0.004,1.0
20,200,0.12,0.5,0.01,2000,2000,0.0055,1.0
20,200,0.12,0.5,0.05,2000,2000,0.0055,1.0
20,200,0.12,0.5,0.1,2000,2000,0.0045,1.0
20,200,0.15,0.1,0.01,2000,2000,0.005,1.0
20,200,0.15,0.1,0.05,2000,2000,0.004,1.0
20,200,0.15,0.1,0.1,2000,2000,0.0075,1.0
20,200,0.15,0.3,0.01,2000,2000,0.004,1.0
20,200,0.15,0.3,0.05,2000,2000,0.0055,0.9995
20,200,0.15,0.3,0.1,2000,2000,0.002,1.0
20,200,0.15,0.5,0.01,2000,2000,0.0075,1.0
20,200,0.15,0.5,0.05,2000,2000,0.0025,0.9995
20,200,0.15,0.5,0.1,2000,2000,0.0055,1.0
25,50,0.08,0.1,0.01,2000,2000,0.0035,0.996
25,50,0.08,0.1,0.05,2000,2000,0.0045,0.997
25,50,0.08,0.1,0.1,2000,2000,0.005,0.9985
25,50,0.08,0.3,0.01,2000,2000,0.005,0.496
25,50,0.08,0.3,0.05,2000,2000,0.002,0.552
25,50,0.08,0.3,0.1,2000,2000,0.0015,0.654
25,50,0.08,0.5,0.01,2000,2000,0.0005,0.284
25,50,0.08,0.5,0.05,2000,2000,0.002,0.34
25,50,0.08,0.5,0.1,2000,2000,0.0015,0.4395
25,50,0.1,0.1,0.01,2000,2000,0.004,0.998
25,50,0.1,0.1,0.05,2000,2000,0.0045,0.997
25,50,0.1,0.1,0.1,2000,2000,0.004,0.9975
25,50,0.1,0.3,0.01,2000,2000,0.0035,0.8515
25,50,0.1,0.3,0.05,2000,2000,0.004,0.867
25,50,0.1,0.3,0.1,2000,2000,0.0015,0.8935
25,50,0.1,0.5,0.01,2000,2000,0.003,0.763
25,50,0.1,0.5,0.05,2000,2000,0.0035,0.8045
25,50,0.1,0.5,0.1,2000,2000,0.0045,0.8305
25,50,0.12,0.1,0.01,2000,2000,0.0035,0.9955
25,50,0.12,0.1,0.05,2000,2000,0.002,0.997
25,50,0.12,0.1,0.1,2000,2000,0.004,0.998
25,50,0.12,0.3,0.01,2000,2000,0.0035,0.867
25,50,0.12,0.3,0.05,2000,2000,0.005,0.8765
25,50,0.12,0.3,0.1,2000,2000,0.0045,0.905
25,50,0.12,0.5,0.01,2000,2000,0.0065,0.8105
25,50,0.12,0.5,0.05,2000,2000,0.005,0.8285
25,50,0.12,0.5,0.1,2000,2000,0.004,0.8565
25,50,0.15,0.1,0.01,2000,2000,0.006,0.997
25,50,0.15,0.1,0.05,2000,2000,0.003,0.997
25,50,0.15,0.1,0.1,2000,2000,0.0035,0.9975
25,50,0.15,0.3,0.01,2000,2000,0.0045,0.855
25,50,0.15,0.3,0.05,2000,2000,0.002,0.876
25,50,0.15,0.3,0.1,2000,2000,0.0015,0.8925
25,50,0.15,0.5,0.01,2000,2000,0.0025,0.796
25,50,0.15,0.5,0.05,2000,2000,0.005,0.8245
25,50,0.15,0.5,0.1,2000,2000,0.005,0.8635
25,100,0.08,0.1,0.01,2000,2000,0.004,1.0
25,100,0.08,0.1,0.05,2000,2000,0.003,1.0
25,100,0.08,0.1,0.1,2000,2000,0.0055,1.0
25,100,0.08,0.3,0.01,2000,2000,0.002,0.9985
25,100,0.08,0.3,0.05,2000,2000,0.0035,0.9995
25,100,0.08,0.3,0.1,2000,2000,0.0035,0.9985
25,100,0.08,0.5,0.01,2000,2000,0.0025,0.9865
25,100,0.08,0.5,0.05,2000,2000,0.0025,0.994
25,100,0.08,0.5,0.1,2000,2000,0.0015,0.997
25,100,0.1,0.1,0.01,2000,2000,0.0005,1.0
25,100,0.1,0.1,0.05,2000,2000,0.0035,1.0
25,100,0.1,0.1,0.1,2000,2000,0.003,1.0
25,100,0.1,0.3,0.01,2000,2000,0.003,0.998
25,100,0.1,0.3,0.05,2000,2000,0.0045,0.999
25,100,0.1,0.3,0.1,2000,2000,0.0035,0.998
25,100,0.1,0.5,0.01,2000,2000,0.002,0.992
25,100,0.1,0.5,0.05,2000,2000,0.002,0.991
25,100,0.1,0.5,0.1,2000,2000,0.007,0.994
25,100,0.12,0.1,0.01,2000,2000,0.004,1.0
25,100,0.12,0.1,0.05,2000,2000,0.0065,1.0
25,100,0.12,0.1,0.1,2000,2000,0.0025,1.0
25,100,0.12,0.3,0.01,2000,2000,0.0025,0.996
25,100,0.12,0.3,0.05,2000,2000,0.004,0.998
25,100,0.12,0.3,0.1,2000,2000,0.0035,0.9965
25,100,0.12,0.5,0.01,2000,2000,0.003,0.99
25,100,0.12,0.5,0.05,2000,2000,0.002,0.9925
25,100,0.12,0.5,0.1,2000,2000,0.003,0.9965
25,100,0.15,0.1,0.01,2000,2000,0.0025,1.0
25,100,0.15,0.1,0.05,2000,2000,0.004,1.0
25,100,0.15,0.1,0.1,2000,2000,0.0025,1.0
25,100,0.15,0.3,0.01,2000,2000,0.0045,0.995
25,100,0.15,0.3,0.05,2000,2000,0.0025,0.9975
25,100,0.15,0.3,0.1,2000,2000,0.0065,0.9975
25,100,0.15,0.5,0.01,2000,2000,0.003,0.992
25,100,0.15,0.5,0.05,2000,2000,0.0035,0.9955
25,100,0.15,0.5,0.1,2000,2000,0.0045,0.995
25,200,0.08,0.1,0.01,2000,2000,0.0045,1.0
25,200,0.08,0.1,0.05,2000,2000,0.005,1.0
25,200,0.08,0.1,0.1,2000,2000,0.005,1.0
25,200,0.08,0.3,0.01,2000,2000,0.0025,1.0
25,200,0.08,0.3,0.05,2000,2000,0.006,1.0
25,200,0.08,0.3,0.1,2000,2000,0.0035,1.0
25,200,0.08,0.5,0.01,2000,2000,0.003,0.9995
25,200,0.08,0.5,0.05,2000,2000,0.0025,1.0
25,200,0.08,0.5,0.1,2000,2000,0.0035,1.0
25,200,0.1,0.1,0.01,2000,2000,0.0035,1.0
25,200,0.1,0.1,0.05,2000,2000,0.005,1.0
25,200,0.1,0.1,0.1,2000,2000,0.006,1.0
25,200,0.1,0.3,0.01,2000,2000,0.003,1.0
